customer_id,first_name,last_name,email,phone,date_of_birth,registration_date,city,state,country,postal_code,customer_segment,account_status,marketing_opt_in,preferred_channel,lifetime_value,referral_source
3882ccc2-b37d-4ece-bf41-a9bef9ee617f,Danielle,Johnson,danielle.johnson115@aol.com,533-521-8196x001,1972-09-03,2019-04-13,New Jamesside,PA,US,55488,Gold,Active,False,Email,10628.87,Organic Search
ec08c6fd-3fc6-403e-9a74-92726230500b,Jeffrey,Lawrence,jeffrey.lawrence96@gmail.com,3268542351,1968-11-14,2021-06-14,West Melanieview,CA,US,06196,Silver,Active,False,In-Person,3967.93,Email Campaign
d245f163-579c-40bf-bfc8-ed0906ffd242,Jessica,Herrera,jessica.herrera829@outlook.com,(518)349-5931x0341,1962-04-28,2019-01-27,Ramirezstad,NJ,US,21820,Bronze,Active,False,Email,1669.43,Organic Search
cc5613d8-21f6-479b-85aa-71b54ca99cd5,Mitchell,Clark,mitchell.clark868@outlook.com,719-228-3276x483,2002-02-28,2022-11-09,Port Antonio,TX,US,41848,Gold,Active,False,In-Person,1418.4,Social Media
ae9518cc-e404-4aa9-bd21-d6e856be0515,Richard,Jones,richard.jones644@protonmail.com,001-553-676-7242,1980-06-11,2025-12-08,Hurstfurt,SC,US,47948,Bronze,Active,False,Email,15395.72,Organic Search
df5d2853-ebec-40fd-a364-d8ec213b6a49,Jeffrey,Bright,jeffrey.bright285@hotmail.com,610.212.2691x6697,2005-01-11,2024-02-01,Lake Nicoleview,,SE,84513,Bronze,Active,True,Email,10964.36,Paid Ad
2b0a0f44-a2a6-43d4-8b40-9fcf7fd95051,Matthew,Carter,matthew.carter747@icloud.com,(570)448-2814,1962-08-29,2021-09-29,Kathrynside,NC,US,70015,Platinum,Active,True,Chat,15171.33,Organic Search
5ba44a22-11c3-4fb0-8bde-3197573a2f65,Samantha,George,samantha.george842@yahoo.com,401.454.3039x1171,1976-04-19,2019-05-12,Arroyoburgh,FL,US,35242,Bronze,Inactive,False,Chat,3827.28,Referral
87e8a11d-119b-45da-ac06-c9278946d81f,Allison,Obrien,allison.obrien906@hotmail.com,383.546.5787,1989-03-01,2026-03-18,North Matthew,PA,US,77611,Bronze,Active,True,Mobile App,7711.81,Email Campaign
01965bed-45b1-4e65-a289-06fee08dfd27,Angela,Chapman,angela.chapman371@hotmail.com,5106310518,1960-05-29,2021-06-17,Lewisberg,FL,US,95312,Gold,Inactive,True,Phone,14257.43,Referral
a6f892fb-198f-43e7-8d55-12c41b8948e3,Selena,Duncan,selena.duncan66@icloud.com,337.263.1165x6670,1982-03-27,2023-04-26,Chandlerville,MA,US,33092,Silver,Suspended,False,Email,12245.1,Organic Search
4c92379e-cdb3-41f0-ad23-a18655110617,James,Herrera,james.herrera907@aol.com,(362)247-3178,1971-12-09,2025-01-08,North Sarabury,NJ,US,22299,Bronze,Active,True,Chat,17493.99,Paid Ad
7a2a1e24-1ce5-4a35-9dc6-dd596082c53c,Richard,Olson,richard.olson935@icloud.com,(502)660-6474x6872,2004-02-05,2020-03-11,North Beth,WI,US,71567,Silver,Active,True,Phone,9708.82,Email Campaign
17e8bc38-76eb-477d-a9ff-4b55f57f85eb,Bruce,Edwards,bruce.edwards614@gmail.com,4973882081,1991-11-01,2022-08-20,Lake Michellefurt,UT,US,16214,Bronze,Suspended,False,Phone,1042.65,Email Campaign
13cb6ddd-6757-4358-90b6-7a3c53c5d108,Shelly,Hudson,shelly.hudson88@gmail.com,+1-509-616-9985x435,1954-03-17,2024-06-13,Andersonport,,TT,60430,Silver,Active,True,Mobile App,2972.29,Email Campaign
8e6fed14-8a19-4b9a-8734-9d415085316a,Leslie,Walton,leslie.walton622@protonmail.com,6794911838,1967-01-01,2023-09-30,Nicolebury,,BN,48935,Gold,Active,False,In-Person,17912.69,Direct
66634ce2-1de1-4c34-b971-a24cdd311ba2,Justin,Kim,justin.kim449@outlook.com,+1-649-380-8412,1988-07-03,2024-10-20,Lake Angelaview,GA,US,37431,Bronze,Active,True,Mobile App,3963.91,Organic Search
cf9f1ab2-4fcc-4e44-981b-6fdc0a48a86a,Cassandra,Robbins,cassandra.robbins647@aol.com,248.274.0164,1968-07-15,2019-08-30,Kellieview,TX,US,21679,Gold,Active,True,In-Person,3856.26,Paid Ad
0249e750-ad24-47fb-8558-8ae2aa4ae5a9,Joyce,Arnold,joyce.arnold958@aol.com,(280)611-2805x98262,1999-09-11,2025-05-27,Rachelton,KY,US,47399,Silver,Active,True,In-Person,6377.36,Referral
d697411e-bc96-47a4-a377-ff276ab9107c,Jason,Wright,jason.wright885@hotmail.com,858-269-2322,2005-12-21,2019-08-10,Lake Sandra,WA,US,54465,Gold,Inactive,True,Phone,3423.76,Referral
7420ef43-b2ea-4b8c-a582-e4e57e7fd96e,Leah,Shields,leah.shields433@yahoo.com,942.716.0733,1972-12-27,2021-01-21,Loribury,OK,US,29720,Platinum,Active,False,Mobile App,1762.36,Direct
ecd27759-29bc-4143-a086-6668825bb718,Andrew,Lee,andrew.lee857@icloud.com,614-258-6850x142,1956-05-14,2019-03-02,New Ryanmouth,,LS,57700,Gold,Active,True,Phone,15563.71,Organic Search
ef66e6d5-9894-4efc-985d-19e8f366173c,Catherine,Dixon,catherine.dixon389@yahoo.com,(793)740-6088x3561,1983-01-10,2019-01-09,Lake Rachelhaven,KY,US,41039,Gold,Active,False,Mobile App,11913.68,Referral
0f58ac47-aca5-4c78-9140-60099415040d,Elizabeth,Nguyen,elizabeth.nguyen195@yahoo.com,682-636-6299x4680,1967-07-13,2022-04-30,South Kristi,,MC,80017,Silver,Active,False,Email,902.56,Referral
e7c23870-6072-4652-b8b9-731fa7a765bc,Diana,Marshall,diana.marshall942@icloud.com,638.572.1489x513,1962-02-14,2024-12-15,East Andrew,IN,US,32593,Bronze,Active,True,Phone,7267.96,Email Campaign
1118ed24-cf73-4923-af36-a432fb286982,Tracey,Carr,tracey.carr593@yahoo.com,001-517-469-3676x32016,1951-07-26,2025-09-01,Williamsbury,AZ,US,16407,Silver,Active,True,Chat,3676.67,Direct
6b129de0-2846-4c69-af54-a34bb45ffbc9,Stephen,Solis,stephen.solis245@outlook.com,+1-688-595-7986x87277,1983-07-05,2021-12-23,Katiehaven,WI,US,64018,Bronze,Active,False,Email,167.68,Email Campaign
ad3298bc-e759-4609-8101-92543bf2d42e,Courtney,Hill,courtney.hill103@icloud.com,443-545-5812,1996-03-26,2019-10-28,Bensonborough,NC,US,08919,Bronze,Active,True,Phone,6651.49,Paid Ad
a40871bb-f970-4a0c-8abd-1a9827c40e63,Robert,Rivera,robert.rivera854@hotmail.com,760.636.6909x670,1975-02-20,2025-02-03,Castanedachester,KY,US,71046,Silver,Active,False,Chat,16771.61,Organic Search
49fd8bda-2e2c-481f-a394-203db26071ad,Julie,Payne,julie.payne271@yahoo.com,+1-937-434-6706x562,1957-08-08,2020-04-17,South Brittanytown,PA,US,11504,Bronze,Active,False,Phone,12374.95,Social Media
fc74ef1a-fdae-47b0-b0c3-75c89bf812c7,Dawn,Taylor,dawn.taylor501@icloud.com,820.646.5375x564,1952-07-22,2021-10-25,South Andrewside,AZ,US,07327,Gold,Active,True,Phone,11468.04,Social Media
cf709f73-9ef8-40bc-8770-01d7851b9b74,Zoe,Bell,zoe.bell760@yahoo.com,+1-510-903-3092x3271,1997-06-29,2023-12-15,Katieburgh,MD,US,79916,Bronze,Active,False,Phone,9820.63,Social Media
bb5c468b-33f0-4443-8de5-9fa610989108,Catherine,Adkins,catherine.adkins566@icloud.com,824-519-0496,1986-07-23,2020-08-29,New Hannahbury,MI,US,13857,Bronze,Inactive,False,Email,16180.64,Paid Ad
4121aa0b-e6ae-4ad0-9acc-35ada1929600,Heidi,Turner,heidi.turner256@aol.com,+1-991-390-5865x18506,1979-09-24,2020-02-26,Yumouth,CT,US,93209,Gold,Suspended,False,Phone,15562.9,Paid Ad
d77d99ad-e90a-4eea-9313-fd150bf6ce66,Eric,Thompson,eric.thompson26@hotmail.com,549.987.7694x53147,1977-10-20,2021-01-04,Rogersfort,AZ,US,43101,Gold,Inactive,False,Chat,2865.56,Direct
1a11ec18-8d08-406f-854d-12e5f53717dd,Hunter,Lewis,hunter.lewis392@gmail.com,954-594-8083x136,1990-03-24,2019-06-08,Brewerfort,OR,US,59244,Platinum,Active,False,Phone,4012.62,Direct
a8b0140c-9730-4812-bb68-05ebc3e9e115,Laura,Davis,laura.davis409@yahoo.com,(934)695-7885x6855,1972-12-29,2022-09-06,Johnville,,GN,95041,Platinum,Active,True,In-Person,12231.33,Email Campaign
bda1a2c8-7257-4c4f-9c90-15765f83dcc6,James,Wilson,james.wilson962@outlook.com,001-723-437-4989x41343,1958-05-07,2019-04-24,Alexisside,,SO,17092,Bronze,Active,False,Email,1951.25,Referral
